,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1192,0.000399017333984375,0.00048869592224769,0.002837944030761719,0.0011633136149616992,11,9,1,uniform,"{'leaf_size': 11, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6984126984126984,0.6984126984126984,0.6825396825396826,0.7063492063492064,0.626984126984127,68.25396825396825,0.028834765277118972,981
1193,0.0,0.0,0.0,0.0,11,9,1,distance,"{'leaf_size': 11, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.7063492063492064,0.7380952380952381,0.6904761904761905,0.7063492063492064,0.6428571428571429,69.68253968253968,0.031104631654389564,148
1194,0.0,0.0,0.006479024887084961,0.007941280213510713,11,9,2,uniform,"{'leaf_size': 11, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.6825396825396826,0.7142857142857143,0.7063492063492064,0.6825396825396826,0.5714285714285714,67.14285714285714,0.051581196219910884,2157
1195,0.0006018638610839844,0.000491424072308971,0.0015838146209716797,0.0004770325260478842,11,9,2,distance,"{'leaf_size': 11, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.6984126984126984,0.7222222222222222,0.7142857142857143,0.6587301587301587,0.6190476190476191,68.25396825396825,0.03855542159203529,981
1196,0.001009082794189453,1.5055222419557285e-05,0.002790355682373047,0.0003960176837405343,11,10,1,uniform,"{'leaf_size': 11, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.6746031746031746,0.7380952380952381,0.7142857142857143,0.6666666666666666,0.6349206349206349,68.57142857142857,0.0364042696545388,638
1197,0.0008012771606445313,0.00040068596612115017,0.0012099266052246094,0.0003882158939531906,11,10,1,distance,"{'leaf_size': 11, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.6984126984126984,0.7698412698412699,0.7222222222222222,0.6746031746031746,0.6349206349206349,70.0,0.04528680196091146,1
1198,0.0009955883026123047,5.881550049258557e-06,0.0029894828796386717,3.163533352772503e-05,11,10,2,uniform,"{'leaf_size': 11, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.6349206349206349,0.7142857142857143,0.6746031746031746,0.6825396825396826,0.6190476190476191,66.50793650793652,0.03419152258498099,3235
1199,0.0010135650634765625,2.8694901739326343e-05,0.0016020774841308595,0.0004873302957940379,11,10,2,distance,"{'leaf_size': 11, 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.6666666666666666,0.7222222222222222,0.7222222222222222,0.6904761904761905,0.6428571428571429,68.88888888888889,0.031104631654389547,393
1200,0.0008162975311279297,0.0004090294412118112,0.002769327163696289,0.0003859656043795902,11,11,1,uniform,"{'leaf_size': 11, 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.6666666666666666,0.7063492063492064,0.6904761904761905,0.6746031746031746,0.6349206349206349,67.46031746031747,0.024072620457306536,1520
1201,0.0010215282440185548,2.5401863289792946e-05,0.0011918067932128907,0.0004044882714914982,11,11,1,distance,"{'leaf_size': 11, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.6666666666666666,0.7301587301587301,0.7142857142857143,0.6984126984126984,0.6507936507936508,69.2063492063492,0.02944005871585937,246
1202,0.0007994174957275391,0.0003997090998385524,0.0032027244567871095,0.00039899693340279764,11,11,2,uniform,"{'leaf_size': 11, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.6507936507936508,0.6904761904761905,0.6666666666666666,0.6825396825396826,0.6587301587301587,66.98412698412699,0.014720029357929685,2206
1203,0.0010029792785644532,4.636696462316042e-05,0.001795053482055664,0.0003977949225093095,11,11,2,distance,"{'leaf_size': 11, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.6587301587301587,0.7222222222222222,0.6904761904761905,0.7063492063492064,0.6507936507936508,68.57142857142857,0.027308969101722626,638
1204,0.0007996082305908204,0.000748509095886504,0.0035547256469726563,0.0025228254060429014,11,12,1,uniform,"{'leaf_size': 11, 'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}",0.6746031746031746,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.6349206349206349,67.14285714285715,0.03939578935235193,1814
1205,0.0006003856658935546,0.0004902130057793287,0.0015997886657714844,0.000489979265096882,11,12,1,distance,"{'leaf_size': 11, 'n_neighbors': 12, 'p': 1, 'weights': 'distance'}",0.6825396825396826,0.7301587301587301,0.7222222222222222,0.6587301587301587,0.626984126984127,68.41269841269842,0.03868589716493314,834
