,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
632,0.0820338249206543,0.004913133083601493,0.009436225891113282,0.007705481847209246,8,log2,1,4,90,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 90}",0.7777777777777778,0.753968253968254,0.7698412698412699,0.7063492063492064,0.7380952380952381,74.92063492063492,0.025396825396825386,131
633,0.09686799049377441,0.006246242146028337,0.0031194210052490233,0.0062388420104980465,8,log2,1,4,100,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.7698412698412699,0.7698412698412699,0.7698412698412699,0.753968253968254,0.753968253968254,76.34920634920636,0.007776157913597417,5
634,0.11093268394470215,0.007645619427952904,0.012498855590820312,0.006249429692789527,8,log2,1,4,115,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 115}",0.7380952380952381,0.753968253968254,0.7936507936507936,0.7222222222222222,0.7142857142857143,74.44444444444444,0.02812705578836403,217
635,0.1312349796295166,0.007654267881229801,0.004753589630126953,0.006282306377939963,8,log2,1,4,130,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 130}",0.7619047619047619,0.7698412698412699,0.7777777777777778,0.7222222222222222,0.753968253968254,75.71428571428571,0.019179438053324727,33
636,0.07813081741333008,3.319985348610952e-05,0.015624332427978515,4.066836750072555e-06,8,log2,2,2,90,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 90}",0.7380952380952381,0.7698412698412699,0.8174603174603174,0.7063492063492064,0.753968253968254,75.71428571428571,0.03674868858028641,33
637,0.09922633171081544,0.006830684017089839,0.006251144409179688,0.007656057774175531,8,log2,2,2,100,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7222222222222222,0.746031746031746,0.8015873015873016,0.7380952380952381,0.7380952380952381,74.92063492063492,0.027308969101722633,131
638,0.11423487663269043,0.006354112386237225,0.006249284744262696,0.007653779470480148,8,log2,2,2,115,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 115}",0.7380952380952381,0.7698412698412699,0.8095238095238095,0.7380952380952381,0.7301587301587301,75.71428571428571,0.029525516250378216,33
639,0.12681307792663574,0.003657874806353014,0.009373712539672851,0.007653718633699139,8,log2,2,2,130,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 130}",0.7222222222222222,0.7698412698412699,0.7857142857142857,0.746031746031746,0.746031746031746,75.39682539682539,0.021879442463635275,70
640,0.08944449424743653,0.006353925079404438,0.0031246185302734376,0.006249237060546876,8,log2,2,3,90,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 90}",0.753968253968254,0.7619047619047619,0.7777777777777778,0.7380952380952381,0.753968253968254,75.71428571428571,0.012895299054977704,33
641,0.10092768669128419,0.008762250078508466,0.006249094009399414,0.007653545946176992,8,log2,2,3,100,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 100}",0.746031746031746,0.753968253968254,0.7857142857142857,0.746031746031746,0.7301587301587301,75.23809523809524,0.018374344290143216,87
642,0.11348547935485839,0.006068156490502109,0.006246519088745117,0.007650392726582716,8,log2,2,3,115,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 115}",0.7698412698412699,0.7936507936507936,0.8015873015873016,0.7380952380952381,0.7380952380952381,76.82539682539684,0.02674968181960747,1
643,0.12959036827087403,0.006208783587331899,0.006249094009399414,0.007653545848139672,8,log2,2,3,130,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 130}",0.7619047619047619,0.746031746031746,0.7698412698412699,0.7380952380952381,0.7063492063492064,74.44444444444444,0.02210855282092716,217
644,0.0937389850616455,6.909039688882395e-06,0.0,0.0,8,log2,2,4,90,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 90}",0.746031746031746,0.7619047619047619,0.7936507936507936,0.7301587301587301,0.746031746031746,75.55555555555556,0.02153120629563576,50
645,0.09831056594848633,0.006197624901589873,0.009376907348632812,0.007656216806973775,8,log2,2,4,100,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.7380952380952381,0.7619047619047619,0.7936507936507936,0.7222222222222222,0.746031746031746,75.23809523809524,0.024281045302822764,87
646,0.11802597045898437,0.008919731066913255,0.006247854232788086,0.007652027473752127,8,log2,2,4,115,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 115}",0.7301587301587301,0.746031746031746,0.7936507936507936,0.7222222222222222,0.746031746031746,74.76190476190476,0.024794443415576673,155
647,0.12909903526306152,0.006058706659289157,0.00625152587890625,0.007656524353591737,8,log2,2,4,130,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 130}",0.746031746031746,0.7777777777777778,0.8015873015873016,0.7380952380952381,0.746031746031746,76.19047619047619,0.02407262045730651,7
648,0.08906083106994629,0.006246491838326061,0.0031244754791259766,0.006248950958251953,8,log2,3,2,90,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 90}",0.7301587301587301,0.7698412698412699,0.8095238095238095,0.746031746031746,0.6984126984126984,75.07936507936508,0.037428019436671754,104
649,0.0937619686126709,4.506941118451773e-05,0.009461784362792968,0.007727206868454246,8,log2,3,2,100,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.7380952380952381,0.7698412698412699,0.7857142857142857,0.6904761904761905,0.7222222222222222,74.12698412698413,0.03389548651438512,270
650,0.13261470794677735,0.016877546544915092,0.0063588619232177734,0.005393667195868674,8,log2,3,2,115,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 115}",0.7222222222222222,0.7698412698412699,0.7936507936507936,0.7222222222222222,0.7301587301587301,74.76190476190476,0.029008995051582647,155
